,Type,Symbol,Description,Close,LastWaveStart,LastwaveEnd,LastWavePeriod,LastWaveValueGain,CurrentWaveStart,CurrentPeriod,CurrentValueGain,TRelative,GainRelative,Congruence,P,DeltaN,YieldEst,GainPerDayCurrent,GainPerDayEstimated,Boll-2MA,MA2Boll+
0,bdr,NVDC34.SA,NVIDIA CORP DRN,26.69,2021-03-10,2021-11-25,260 days,102.84,2022-01-21,3 days,-1.93,1.15,-1.88,3.03,-0.92,257,104.77,-64.39,40.77,True,False
1,bdr,SSFO34.SA,SALESFORCE  DRN,56.3,2021-05-19,2021-11-04,169 days,43.46,2022-01-21,3 days,1.6,1.78,3.68,1.9,4.08,166,41.86,53.25,25.22,True,False
2,bdr,MSFT34.SA,MICROSOFT   DRN,67.94,2020-12-10,2021-12-29,384 days,62.61,2022-01-21,3 days,-1.07,0.78,-1.71,2.49,-1.15,381,63.68,-35.74,16.71,True,False
3,bdr,CMCS34.SA,COMCAST     DRN,55.0,2021-06-24,2021-09-06,74 days,16.92,2021-12-09,46 days,1.95,62.16,11.53,50.63,0.23,28,14.97,4.24,53.46,True,False
4,bdr,BERK34.SA,BERKSHIRE   DRN,84.0,2021-06-30,2022-01-10,194 days,29.65,2021-09-22,124 days,15.53,63.92,52.39,11.53,4.97,70,14.12,12.53,20.17,True,False
5,bdr,B1NT34.SA,BIONTECH SE DRN,105.0,2021-10-06,2021-11-29,54 days,45.0,2022-01-21,3 days,-0.76,5.56,-1.7,7.25,-0.27,51,45.76,-25.45,89.73,True,False
6,bdr,TSLA34.SA,TESLA INC   DRN,159.01,2021-06-04,2021-11-04,153 days,84.43,2022-01-24,0 days,-0.7,0.0,-0.83,0.83,-4.83,153,85.13,-inf,55.64,True,False
7,bdr,PFIZ34.SA,PFIZER      DRN,71.48,2021-10-15,2021-12-20,66 days,46.21,2022-01-24,0 days,-1.09,0.0,-2.37,2.37,-1.73,66,47.3,-inf,71.67,True,False
8,bdr,UNHH34.SA,UNITEDHEALTHDRN,72.75,2021-06-24,2021-12-29,188 days,41.1,2022-01-19,5 days,-1.44,2.66,-3.5,6.16,-0.68,183,42.54,-28.75,23.25,True,False
9,bdr,CHCM34.SA,CHARTER COMMDRN,52.7,2021-06-16,2021-08-23,68 days,26.5,2022-01-21,3 days,1.51,4.41,5.69,1.28,20.45,65,24.99,50.26,38.45,True,False
10,bdr,EXXO34.SA,EXXON MOBIL DRN,100.29,2020-11-06,2022-01-18,438 days,91.05,2021-09-01,145 days,37.89,33.11,41.62,8.51,5.54,293,53.16,26.13,18.14,False,True
11,bdr,U1BE34.SA,UBER TECH INDRN,49.81,2021-09-15,2021-10-08,23 days,26.01,2022-01-21,3 days,-3.75,13.04,-14.43,27.47,-0.55,20,29.77,-125.13,148.83,True,False
12,bdr,GOGL34.SA,ALPHABET    DRN A,95.77,2021-05-18,2021-12-23,219 days,34.72,2022-01-21,3 days,-0.64,1.37,-1.84,3.21,-0.83,216,35.36,-21.35,16.37,True,False
13,bdr,FBOK34.SA,META PLAT   DRN,60.19,2021-01-14,2021-09-08,237 days,42.81,2022-01-21,3 days,-1.92,1.27,-4.49,5.76,-0.94,234,44.73,-64.14,19.12,True,False
14,bdr,N1DA34.SA,NASDAQ INC  DRN,481.0,2020-12-15,2021-10-29,318 days,68.22,2022-01-24,0 days,-0.82,0.0,-1.21,1.21,-5.78,318,69.04,-inf,21.71,True,False
15,bdr,AAPL34.SA,APPLE       DRN,88.75,2021-10-04,2022-01-03,91 days,31.46,2022-01-24,0 days,-0.24,0.0,-0.75,0.75,-3.01,91,31.69,-inf,34.83,True,False
16,bdr,COCA34.SA,COCA COLA   DRN,54.7,2021-06-29,2022-01-05,190 days,29.39,2021-10-01,115 days,14.9,60.53,50.72,9.81,5.76,75,14.48,12.96,19.31,True,False
17,bdr,ULEV34.SA,UNILEVER    DRN,295.07,2021-09-17,2022-01-05,110 days,8.33,2022-01-21,3 days,9.9,2.73,118.85,116.12,1.03,107,-1.57,330.05,-1.47,False,True
18,bdr,DISB34.SA,WALT DISNEY DRN,50.19,2021-08-10,2021-10-07,58 days,6.94,2022-01-21,3 days,-5.8,5.17,-83.58,88.76,-0.95,55,12.74,-193.38,23.17,False,False
19,bdr,BIDU34.SA,BAIDU INC   DRN,812.7,2021-08-19,2021-10-21,63 days,29.89,2021-12-03,52 days,-1.33,82.54,-4.45,86.99,-0.05,11,31.22,-2.56,283.83,True,False
20,bdr,AMZO34.SA,AMAZON      DRN,101.24,2021-08-17,2021-11-19,94 days,18.3,2022-01-21,3 days,-3.52,3.19,-19.21,22.4,-0.9,91,21.81,-117.17,23.97,False,False
21,bdr,NFLX34.SA,NETFLIX     DRN,42.1,2021-06-10,2021-10-29,141 days,47.56,2022-01-24,0 days,-2.77,0.0,-5.83,5.83,-1.21,141,50.33,-inf,35.69,False,False
22,bdr,BKNG34.SA,BOOKING     DRN,73.7,2021-06-29,2021-11-08,132 days,31.35,2022-01-21,3 days,-2.31,2.27,-7.36,9.64,-0.85,129,33.66,-76.96,26.1,True,False
23,bdr,M1RN34.SA,MODERNA INC DRN,87.29,2021-11-19,2021-11-29,10 days,42.04,2022-01-21,3 days,-4.21,30.0,-10.02,40.02,-0.26,7,46.26,-140.46,660.81,True,False
24,bdr,MELI34.SA,MERCADOLIBREDRN,46.6,2021-06-08,2021-09-08,92 days,43.29,2022-01-24,0 days,-2.9,0.0,-6.69,6.69,-1.18,92,46.19,-inf,50.2,True,False
25,bdr,TEXA34.SA,TEXAS INC   DRN,65.08,2021-06-23,2021-10-21,120 days,22.52,2022-01-20,4 days,0.11,3.33,0.51,2.82,0.28,116,22.41,2.86,19.32,True,False
26,bdr,JNJB34.SA,JOHNSON     DRN,59.53,2021-09-22,2022-01-05,105 days,14.22,2022-01-24,0 days,-1.03,0.0,-7.25,7.25,-1.16,105,15.25,-inf,14.52,True,False
27,bdr,FCXO34.SA,FREEPORT    DRN,219.68,2021-06-29,2022-01-13,198 days,37.69,2021-12-16,39 days,5.14,19.7,13.63,6.07,2.69,159,32.56,13.17,20.48,False,False
28,bdr,A1MD34.SA,ADVANCED MICDRN,634.98,2021-09-29,2021-11-29,61 days,52.66,2022-01-24,0 days,-2.31,0.0,-4.39,4.39,-1.3,61,54.97,-inf,90.12,True,False
29,bdr,COTY34.SA,COTY INC    DRN,23.03,2021-08-17,2022-01-04,140 days,40.89,2022-01-21,3 days,-0.99,2.14,-2.42,4.56,-0.68,137,41.88,-32.96,30.57,True,False
30,bdr,FDXB34.SA,FEDEX CORP  DRN,1326.6,2021-10-04,2022-01-05,93 days,23.74,2022-01-24,0 days,-3.07,0.0,-12.94,12.94,-1.08,93,26.81,-inf,28.83,False,False
31,bdr,UPSS34.SA,UPS         DRN,68.9,2021-12-01,2022-01-04,34 days,9.5,2022-01-24,0 days,-0.01,0.0,-0.15,0.15,-0.18,34,9.52,-inf,27.99,True,False
32,bdr,COWC34.SA,COSTCO      DRN,67.04,2021-03-18,2021-12-29,286 days,59.52,2022-01-21,3 days,1.67,1.05,2.81,1.76,3.71,283,57.85,55.68,20.44,True,False
33,bdr,UPAC34.SA,UNIONPACIFICDRN,345.44,2021-10-01,2022-01-05,96 days,30.31,2022-01-24,0 days,0.0,0.0,0.0,0.0,0.0,96,30.31,,31.57,True,False
34,bdr,CSXC34.SA,CSX CORP    DRN,93.73,2021-10-13,2022-01-07,86 days,16.67,2022-01-21,3 days,-2.97,3.49,-17.82,21.31,-0.88,83,19.64,-99.03,23.67,False,False
35,bdr,N1SC34.SA,NORFOLK SOUTDRN,374.02,2021-06-22,2021-12-29,190 days,21.95,2022-01-24,0 days,-2.37,0.0,-10.8,10.8,-1.1,190,24.32,-inf,12.8,True,False
36,bdr,CSCO34.SA,CISCO       DRN,62.52,2020-11-06,2021-12-29,418 days,64.09,2022-01-21,3 days,-1.2,0.72,-1.87,2.59,-1.18,415,65.29,-40.04,15.73,True,False
37,bdr,MCDC34.SA,MCDONALDS   DRN,69.52,2020-12-11,2021-12-29,383 days,42.53,2022-01-20,4 days,-0.24,1.04,-0.56,1.61,-0.93,379,42.77,-5.98,11.28,True,False
38,bdr,WALM34.SA,WAL MART    DRN,48.15,2021-10-04,2021-11-01,28 days,14.31,2022-01-21,3 days,-0.39,10.71,-2.73,13.44,-0.22,25,14.7,-13.02,58.79,True,False
39,bdr,S2HO34.SA,SHOPIFY INC DRN,43.04,2021-10-04,2021-11-19,46 days,28.98,2022-01-21,3 days,-7.22,6.52,-24.9,31.42,-0.82,43,36.19,-240.51,84.16,True,False
40,bdr,EBAY34.SA,EBAY        DRN,161.62,2021-08-17,2021-10-22,66 days,14.19,2022-01-24,0 days,-0.87,0.0,-6.14,6.14,-1.19,66,15.07,-inf,22.83,True,False
41,bdr,AVGO34.SA,BROADCOM INCDRN,84.91,2021-06-24,2021-12-23,182 days,87.41,2022-01-21,3 days,-1.36,1.65,-1.55,3.2,-0.71,179,88.77,-45.19,49.59,True,False
42,bdr,VERZ34.SA,VERIZON     DRN,48.61,2021-08-03,2022-01-05,155 days,9.47,2021-12-08,47 days,3.46,30.32,36.51,6.18,7.04,108,6.01,7.35,5.57,True,False
43,bdr,P2IN34.SA,PINTERESTINCDRN,26.7,2021-10-11,2021-10-20,9 days,22.25,2022-01-21,3 days,-9.77,33.33,-43.9,77.23,-0.58,6,32.02,-325.56,533.62,True,False
44,bdr,ARMT34.SA,ARCELOR     DRN,83.35,2021-09-21,2022-01-13,114 days,30.55,2021-11-30,55 days,8.74,48.25,28.61,19.64,1.54,59,21.81,15.89,36.97,False,False
45,bdr,VRTX34.SA,VERTEX PHARMDRN,311.55,2021-06-22,2022-01-17,209 days,32.18,2021-10-04,112 days,25.94,53.59,80.6,27.01,3.1,97,6.24,23.16,6.44,True,False
46,bdr,FDMO34.SA,FORD MOTORS DRN,112.16,2021-05-12,2022-01-13,246 days,91.01,2022-01-24,0 days,0.58,0.0,0.64,0.64,1.78,246,90.43,inf,36.76,True,False
47,bdr,CATP34.SA,CATERPILLAR DRN,73.16,2021-09-21,2022-01-17,118 days,27.28,2021-12-01,54 days,4.53,45.76,16.61,29.15,0.59,64,22.75,8.39,35.54,True,False
48,bdr,ABUD34.SA,AB INBEV    DRN,58.2,2021-09-15,2022-01-17,124 days,24.0,2021-11-30,55 days,8.53,44.35,35.53,8.82,4.54,69,15.47,15.51,22.43,True,False
49,bdr,WFCO34.SA,WELLS FARGO DRN,73.52,2021-06-18,2022-01-17,213 days,44.93,2021-09-01,145 days,25.35,68.08,56.42,11.66,5.29,68,19.58,17.48,28.8,True,False
50,cambio,USDBRL=X,USD/BRL,5.5,2021-09-10,2021-12-22,103 days,7.94,2022-01-24,1 days,1.5,0.97,18.86,17.88,1.12,102,6.44,149.68,6.31,True,False
51,cambio,EURBRL=X,EUR/BRL,6.22,2021-11-16,2021-12-22,36 days,3.74,2022-01-24,1 days,1.44,2.78,38.57,35.79,1.11,35,2.3,144.32,6.57,True,False
52,cambio,EURUSD=X,EUR/USD,1.13,2021-08-20,2021-09-07,18 days,1.46,2021-11-25,60 days,0.88,333.33,60.36,272.97,0.22,-42,0.58,1.47,-1.38,True,False
53,cripto,BTC-USD,Bitcoin USD,36393.77,2021-09-21,2021-11-08,48 days,48.66,2022-01-25,0 days,-0.71,0.0,-1.46,1.46,-3.17,48,49.37,-inf,102.85,True,False
54,cripto,LTC-USD,Litecoin USD,108.42,2021-09-28,2021-11-14,47 days,69.78,2022-01-25,0 days,-1.07,0.0,-1.54,1.54,-2.86,47,70.86,-inf,150.76,True,False
55,cripto,ETH-USD,Ethereum USD,2423.67,2021-09-21,2021-11-08,48 days,52.66,2022-01-25,0 days,-0.68,0.0,-1.3,1.3,-4.35,48,53.34,-inf,111.14,True,False
56,cripto,CET-USD,CoinExToken USD,0.05,2021-09-30,2021-11-11,42 days,83.65,2022-01-25,0 days,0.21,0.0,0.25,0.25,0.33,42,83.44,inf,198.66,True,False
57,cripto,SOL-USD,Solana USD,91.65,2021-12-14,2021-12-27,13 days,24.73,2022-01-24,0 days,-7.96,0.0,-32.19,32.19,-1.03,13,32.7,-inf,251.5,False,False
58,cripto,EGLD-USD,Elrond USD,136.08,2021-07-22,2021-11-22,123 days,210.72,2022-01-22,3 days,-0.45,2.44,-0.21,2.65,-0.13,120,211.17,-15.03,175.98,True,False
59,cripto,FTM-USD,Fantom USD,2.36,2021-07-20,2022-01-16,180 days,371.29,2021-12-14,42 days,77.44,23.33,20.86,2.48,14.13,138,293.85,184.39,212.93,True,False
60,cripto,DOT-USD,Polkadot USD,18.04,2021-07-20,2021-11-04,107 days,178.63,2022-01-24,0 days,-4.21,0.0,-2.35,2.35,-1.74,107,182.84,-inf,170.88,True,False
61,cripto,ADA-USD,Cardano USD,1.04,2021-12-10,2022-01-17,38 days,27.1,2022-01-25,0 days,-2.58,0.0,-9.5,9.5,-1.12,38,29.67,-inf,78.09,True,False
62,cripto,MATIC-USD,MaticNetwork USD,1.47,2021-11-18,2021-12-26,38 days,67.59,2022-01-25,0 days,-2.46,0.0,-3.65,3.65,-1.38,38,70.05,-inf,184.34,True,False
63,cripto,LUNA1-USD,Terra USD,65.25,2021-10-19,2021-12-26,68 days,118.15,2022-01-22,3 days,1.48,4.41,1.25,3.16,0.58,65,116.67,49.29,179.49,True,False
64,cripto,AR-USD,Arweave USD,32.73,2021-12-13,2022-01-01,19 days,51.37,2022-01-25,0 days,-1.59,0.0,-3.09,3.09,-1.48,19,52.95,-inf,278.7,True,False
65,cripto,LINK-USD,Chainlink USD,15.31,2021-09-21,2021-11-11,51 days,45.99,2022-01-25,0 days,-1.77,0.0,-3.86,3.86,-1.35,51,47.77,-inf,93.66,True,False
66,cripto,CRO-USD,CryptocomCoin USD,0.38,2021-09-30,2021-11-23,54 days,200.97,2022-01-22,3 days,4.98,5.56,2.48,3.08,1.19,51,195.99,166.12,384.29,True,False
67,cripto,HNT-USD,Helium USD,22.58,2021-12-15,2022-01-04,20 days,43.28,2022-01-22,2 days,-6.21,10.0,-14.36,24.36,-0.61,18,49.49,-310.74,274.96,True,False
68,cripto,ATOM-USD,Cosmos USD,35.91,2021-10-18,2022-01-16,90 days,50.87,2021-12-17,38 days,62.85,42.22,123.56,81.34,1.54,52,-11.98,165.4,-23.05,True,False
69,cripto,BNB-USD,BinanceCoin USD,372.94,2021-09-28,2021-11-08,41 days,70.29,2022-01-22,3 days,-2.38,7.32,-3.38,10.7,-0.35,38,72.66,-79.19,191.22,True,False
70,cripto,ALGO-USD,Algorand USD,0.9,2021-07-21,2021-09-12,53 days,145.02,2022-01-25,0 days,-34.91,0.0,-24.07,24.07,-1.04,53,179.93,-inf,339.49,False,False
71,cripto,AVAX-USD,Avalanche USD,64.62,2021-12-13,2022-01-01,19 days,30.74,2022-01-25,0 days,2.77,0.0,9.02,9.02,1.12,19,27.97,inf,147.2,True,False
72,cripto,FIL-USD,FilecoinFutures USD,18.24,2021-07-20,2021-09-05,47 days,102.27,2022-01-25,0 days,-0.94,0.0,-0.92,0.92,-11.7,47,103.21,-inf,219.6,True,False
73,cripto,AXS-USD,AxieInfinity USD,51.39,2021-09-21,2021-11-07,47 days,127.53,2022-01-22,3 days,-10.71,6.38,-8.4,14.78,-0.61,44,138.24,-357.1,314.19,True,False
74,cripto,MANA-USD,Decentraland USD,2.1,2021-09-28,2021-11-25,58 days,299.76,2022-01-25,0 days,0.88,0.0,0.29,0.29,0.41,58,298.88,inf,515.31,True,False
75,cripto,THETA-USD,THETA USD,2.65,2021-12-14,2021-12-27,13 days,36.05,2022-01-25,0 days,2.37,0.0,6.59,6.59,1.18,13,33.68,inf,259.07,True,False
76,fii,KNRI11.SA,FII KINEA   CI,135.01,2021-08-23,2021-09-27,35 days,10.95,2021-11-30,55 days,5.83,157.14,53.26,103.88,0.52,-20,5.12,10.6,-25.58,True,False
77,fii,HGRE11.SA,FII HG REAL CI,136.3,2021-06-02,2021-07-23,51 days,12.77,2021-11-23,62 days,17.52,121.57,137.22,15.65,9.36,-11,-4.75,28.26,43.21,False,True
78,fii,RBVO11.SA,FII RIOBCRI2CI,12.33,2021-05-03,2021-10-15,165 days,31.52,2022-01-24,0 days,-1.28,0.0,-4.06,4.06,-1.33,165,32.8,-inf,19.88,True,False
79,fii,HGLG11.SA,FII CSHG LOGCI,172.46,2021-09-03,2022-01-20,139 days,7.76,2021-11-24,61 days,9.38,43.88,120.84,76.96,1.59,78,-1.62,15.37,-2.07,False,True
80,fii,NPAR11.SA,FII NESTPAR CI,12.44,2021-08-30,2021-10-29,60 days,7.44,2021-12-02,53 days,8.8,88.33,118.4,30.07,4.07,7,-1.37,16.61,-19.55,True,False
81,fii,PPLA11.SA,PPLA        UNT,5.91,2021-03-10,2021-04-01,22 days,20.01,2022-01-10,14 days,0.07,63.64,0.33,63.31,0.01,8,19.95,0.47,249.34,True,False
82,fii,IRDM11.SA,FII IRIDIUM CI,109.63,2021-10-04,2021-10-11,7 days,3.41,2021-12-17,38 days,8.27,542.86,242.73,300.12,0.81,-31,-4.86,21.75,15.68,False,True
83,fii,BCRI11.SA,FII BEES CRICI,110.48,2021-09-08,2022-01-24,138 days,2.37,2021-12-02,53 days,7.91,38.41,334.07,295.66,1.13,85,-5.54,14.93,-6.52,False,False
84,fii,MFII11.SA,FII MERITO ICI,109.35,2021-08-24,2021-09-30,37 days,2.29,2021-11-24,61 days,7.21,164.86,315.16,150.29,2.11,-24,-4.92,11.82,20.51,False,True
85,fii,VRTA11.SA,FII FATOR VECI,105.4,2021-07-02,2021-07-30,28 days,5.17,2021-12-02,53 days,6.77,189.29,131.1,58.18,2.29,-25,-1.61,12.78,6.43,False,True
86,fii,SARE11.SA,FII SANT RENCI,70.5,2021-09-23,2021-10-18,25 days,9.5,2021-11-30,55 days,11.88,220.0,124.98,95.02,1.33,-30,-2.37,21.6,7.91,False,True
87,fii,HABT11.SA,FII HABIT IICI,111.0,2021-10-08,2021-10-29,21 days,6.68,2021-12-15,40 days,5.56,190.48,83.23,107.24,0.78,-19,1.12,13.9,-5.9,False,True
88,fii,HSML11.SA,FII HSI MALLCI,77.21,2021-03-25,2021-06-21,88 days,6.43,2022-01-24,0 days,-1.32,0.0,-20.46,20.46,-1.05,88,7.75,-inf,8.81,True,False
89,fii,RBRF11.SA,FII RBRALPHACI,75.45,2021-09-28,2021-10-15,17 days,6.15,2021-11-22,63 days,10.95,370.59,178.02,192.57,0.93,-46,-4.8,17.38,10.43,True,False
90,fii,BRCO11.SA,FII BRESCO  CI,97.99,2021-07-06,2021-07-19,13 days,5.93,2021-11-26,59 days,15.44,453.85,260.11,193.74,1.35,-46,-9.5,26.16,20.66,True,False
91,fii,XPLG11.SA,FII XP LOG  CI,100.96,2021-06-25,2021-07-20,25 days,5.59,2021-12-01,54 days,11.01,216.0,196.87,19.13,10.86,-29,-5.42,20.39,18.68,False,True
92,fii,MALL11.SA,FII MALLS BPCI,96.47,2021-08-17,2022-01-21,157 days,6.99,2021-11-24,61 days,15.39,38.85,220.22,181.36,1.22,96,-8.4,25.22,-8.75,False,True
93,fii,JSRE11.SA,FII JS REAL CI,77.65,2021-11-23,2021-12-30,37 days,18.61,2022-01-24,0 days,-0.96,0.0,-5.14,5.14,-1.24,37,19.56,-inf,52.88,False,False
94,fii,MGFF11.SA,FII MOGNO   CI,67.0,2021-10-08,2021-10-15,7 days,4.64,2021-11-24,61 days,12.5,871.43,269.16,602.26,0.45,-54,-7.86,20.49,14.55,False,True
95,fii,XPSF11.SA,FII XP SELECCI,79.7,2021-06-28,2021-07-30,32 days,2.71,2021-11-24,61 days,12.94,190.62,477.57,286.94,1.67,-29,-10.23,21.22,35.28,True,False
96,fii,BTLG11.SA,FII BTLG    CI,105.8,2021-09-16,2021-10-15,29 days,2.31,2021-11-25,60 days,7.88,206.9,341.12,134.22,2.56,-31,-5.57,13.13,17.97,False,True
97,fii,RECR11.SA,FII REC RECECI,102.99,2021-08-17,2021-09-02,16 days,2.85,2021-11-24,61 days,6.18,381.25,217.02,164.23,1.33,-45,-3.33,10.13,7.4,False,True
98,fii,KNIP11.SA,FII KINEA IPCI,104.2,2021-07-01,2021-07-30,29 days,2.92,2021-11-09,76 days,4.0,262.07,136.82,125.25,1.1,-47,-1.08,5.26,2.29,False,True
99,fii,HGCR11.SA,FII CSHG CRICI,107.38,2021-06-28,2021-10-01,95 days,6.04,2021-11-26,59 days,6.7,62.11,110.96,48.86,2.32,36,-0.66,11.36,-1.84,False,True
100,index,^BVSP,IBOVESPA,107752.0,2021-03-08,2021-06-07,91 days,13.09,2022-01-05,19 days,4.11,20.88,31.42,10.54,3.29,72,8.98,21.64,12.47,False,True
101,index,^IXIC,NASDAQ Composite,13855.13,2021-05-19,2021-11-19,184 days,19.22,2022-01-21,3 days,-2.09,1.63,-10.9,12.53,-0.95,181,21.31,-69.82,11.78,True,False
102,index,^GSPC,S&P 500,4410.13,2020-11-03,2022-01-03,426 days,38.11,2022-01-21,3 days,-1.61,0.7,-4.24,4.94,-1.08,423,39.72,-53.81,9.39,False,False
103,index,^DJI,Dow Jones Industrial Average,34364.5,2021-09-30,2022-01-04,96 days,7.01,2022-01-21,3 days,-1.01,3.12,-14.36,17.48,-0.87,93,8.02,-33.57,8.62,False,False
104,index,^MERV,MERVAL,81004.41,2021-07-19,2021-11-08,112 days,43.62,2021-11-29,56 days,1.58,50.0,3.62,46.38,0.08,56,42.04,2.82,75.07,False,False
105,index,^NYA,NYSE COMPOSITE (DJ),16413.97,2021-09-30,2022-01-12,104 days,6.25,2022-01-21,3 days,-1.5,2.88,-23.97,26.86,-0.93,101,7.74,-49.91,7.67,False,False
106,index,^XAX,NYSE AMEX COMPOSITE INDEX,3496.55,2020-10-01,2022-01-12,468 days,67.96,2021-08-19,158 days,18.65,33.76,27.45,6.31,5.17,310,49.31,11.81,15.91,True,False
107,index,^BUK100P,Cboe UK 100,726.0,2021-02-26,2022-01-17,325 days,13.73,2021-09-20,126 days,5.29,38.77,38.49,0.28,53.62,199,8.45,4.19,4.24,False,False
108,index,^RUT,Russell 2000,2033.51,2021-08-19,2021-11-08,81 days,12.75,2022-01-21,3 days,0.51,3.7,3.99,0.29,5.6,78,12.24,16.96,15.69,True,False
109,index,^VIX,CBOE Volatility Index,29.9,2021-11-03,2021-12-01,28 days,83.59,2022-01-03,21 days,60.86,75.0,72.81,2.19,60.98,7,22.73,289.79,324.72,False,False
110,index,^FTSE,FTSE 100,7297.2,2021-09-21,2022-01-17,118 days,10.01,2021-11-30,55 days,2.75,46.61,27.44,19.17,1.51,63,7.26,4.99,11.53,False,False
111,index,^GDAXI,DAX PERFORMANCE-INDEX,15011.13,2021-10-06,2022-01-05,91 days,7.18,2022-01-24,0 days,-3.8,0.0,-52.9,52.9,-1.02,91,10.98,-inf,12.06,False,False
112,index,^FCHI,CAC 40,6787.79,2021-01-29,2022-01-05,341 days,30.13,2022-01-24,0 days,-3.97,0.0,-13.19,13.19,-1.08,341,34.1,-inf,10.0,False,False
113,index,^STOXX50E,ESTX 50 PR.EUR,4054.36,2020-11-03,2021-11-16,378 days,38.88,2022-01-24,0 days,-4.14,0.0,-10.65,10.65,-1.1,378,43.02,-inf,11.38,False,False
114,index,^N100,Euronext 100 Index,1282.86,2020-11-02,2022-01-05,429 days,41.25,2022-01-24,0 days,-3.91,0.0,-9.48,9.48,-1.12,429,45.16,-inf,10.53,False,False
115,index,^BFX,BEL 20,3993.65,2021-12-14,2022-01-04,21 days,5.13,2022-01-24,0 days,-3.74,0.0,-72.93,72.93,-1.01,21,8.87,-inf,42.22,False,False
116,index,IMOEX.ME,MOEX Russia Index,3235.28,2021-12-13,2022-01-04,22 days,3.17,2022-01-24,0 days,-5.93,0.0,-186.91,186.91,-1.01,22,9.1,-inf,41.38,False,False
117,index,^N225,Nikkei 225,27588.37,2021-10-13,2021-11-16,34 days,5.56,2022-01-19,5 days,-2.35,14.71,-42.15,56.86,-0.75,29,7.91,-46.9,27.27,True,False
118,index,^HSI,HANG SENG INDEX,24656.46,2021-10-06,2021-10-20,14 days,8.2,2022-01-05,19 days,5.85,135.71,71.28,64.43,1.12,-5,2.36,30.78,-47.11,False,True
119,index,000001.SS,SSE Composite Index,3524.11,2021-07-30,2021-09-13,45 days,8.65,2021-11-05,80 days,0.03,177.78,0.4,177.37,0.0,-35,8.62,0.04,-24.62,True,False
120,index,399001.SZ,Shenzhen Component,14081.8,2021-10-12,2021-12-13,62 days,5.86,2022-01-21,3 days,-0.82,4.84,-13.93,18.77,-0.78,59,6.67,-27.2,11.31,True,False
121,index,^JKSE,Composite Index,6655.17,2021-02-02,2022-01-21,353 days,11.02,2021-05-24,245 days,14.7,69.41,133.42,64.02,2.12,108,-3.68,6.0,-3.41,False,True
122,index,MSCI,MSCI Inc,507.07,2021-06-01,2021-11-16,168 days,38.19,2022-01-21,3 days,-1.67,1.79,-4.36,6.15,-0.85,165,39.85,-55.52,24.15,True,False
